"Field","ABST","ADVS","AGGR","ANCIENT","ART","BILL","BLOG","BOOK","CASE","CHAP","CHART","CLSWK","COMP","CONF","CPAPER","CTLG","DATA","DBASE","DICT","EBOOK","ECHAP","EDBOOK","EJOUR","ELEC","ENCYC","EQUA","FIGURE","GEN","GOVDOC","GRANT","HEAR","ICOMM","INPR","JFULL","JOUR","LEGAL","MANSCPT","MAP","MGZN","MPCT","MULTI","MUSIC","NEWS","PAMP","PAT","PCOMM","RPRT","SER","SLIDE","SOUND","STAND","STAT","THES","UNBILL","UNPB","VIDEO"
"M3","Type of Article","Type","Type of Work","Type of Work","Type of Work","N/A","Type of Medium","Type of Work","Citation of Reversal","N/A","Type of Image","Type","Type","N/A","Type of Work","Type of Work","N/A","Type of Work","Type of Work","Type of Medium","Type of Work","Type of Work","Type of Work","Type of Medium","N/A","Type of Image","Type of Image","Type of Work","N/A","Funding Type","N/A","Type","Type of Article","Type of Article","Type of Article","Type of Work","Type of Work","Type","Type of Article","Medium","Type of Work","Form of Item","Type of Article","Type of Work","Patent Type","Type","Type","Type of Work","Type","Type","Type of Work","N/A","Thesis Type","N/A","Type of Work","Type"
"N1","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes","Notes"
"NV","N/A","Extent of Work","N/A","Number of Volumes","N/A","N/A","N/A","Number of Volumes","Reporter Abbreviation","N/A","N/A","Number of Volumes","N/A","Number of Volumes","N/A","Catalog Number","Study Number","N/A","Number of Volumes","Version","Number of Volumes","Number of Volumes","Document Number","N/A","Number of Volumes","N/A","N/A","Number of Volumes","N/A","Amount Received","Number of Volumes","Communication Number","N/A","N/A","N/A","Session Number","Manuscript Number","N/A","Frequency","N/A","N/A","Number of Volumes","Frequency","N/A","US Patent Classification","Communication Number","Series Volume","Number of Volumes","Extent of Work","Extent of Work","Session Number","Statute Number","N/A","N/A","N/A","Extent of Work"
"OP","Original Publication","Contents","Original Publication","Original Publication","N/A","History","Content","Original Publication","History","Original Publication","N/A","Original Publication","Contents","N/A","N/A","Original Publication","Version History","N/A","Original Publication","Original Publication","Original Publication","Original Publication","N/A","Contents","Original Publication","N/A","N/A","Original Publication","N/A","Original Grant Number","History","N/A","Original Publication","Original Publication","Original Publication","History","N/A","N/A","Original Publication","N/A","N/A","Original Publication","N/A","Original Publication","Priority Numbers","N/A","Contents","Original Publication","Contents","Contents","N/A","History","N/A","History","N/A","Contents"
"PB","N/A","Publisher","Publisher","Publisher","Publisher","N/A","Publisher","Publisher","Court","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Distributor","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Publisher","Sponsoring Agency","Publisher","Publisher","N/A","N/A","N/A","Publisher","Library/Archive","Publisher","Publisher","Distributor","Distributor","Publisher","Publisher","Publisher","Assignee","Publisher","Institution","Publisher","Publisher","Publisher","Publisher","Source","University","N/A","Institution","Publisher"
"PY","Year","Year","Year","Year","Year","Year","Year","Year","Year Decided","Year","Year","Year","Year","Year of Conference","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year Released","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year","Year"
"RI","Reviewed Item","N/A","N/A","Reviewed Item","N/A","N/A","N/A","N/A","N/A","Reviewed Item","N/A","N/A","N/A","N/A","N/A","N/A","Geographic Coverage","N/A","Reviewed Item","Reviewed Item","Reviewed Item","N/A","Reviewed Item","N/A","Reviewed Item","N/A","N/A","Reviewed Item","N/A","Reviewed Item","N/A","N/A","Reviewed Item","Reviewed Item","Reviewed Item","N/A","N/A","N/A","Reviewed Item","N/A","N/A","N/A","Reviewed Item","N/A","N/A","N/A","N/A","Reviewed Item","N/A","N/A","N/A","Article Number","N/A","N/A","N/A","N/A"
"RN","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes","Research Notes"
"RP","Reprint Edition","N/A","N/A","Reprint Edition","N/A","N/A","N/A","Reprint Edition","N/A","Reprint Edition","N/A","Reprint Edition","N/A","N/A","N/A","Reprint Edition","N/A","N/A","Reprint Edition","Reprint Edition","Reprint Edition","Reprint Edition","Reprint Edition","N/A","Reprint Edition","N/A","N/A","Reprint Edition","N/A","Review Date","N/A","N/A","Reprint Edition","Reprint Edition","Reprint Edition","N/A","Reprint Edition","Reprint Edition","Reprint Edition","N/A","N/A","Reprint Edition","Reprint Edition","Reprint Edition","Notes","N/A","Notes","Reprint Edition","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SE","N/A","N/A","Screens","N/A","N/A","Code Section","Message Number","Pages","Filed Date","Chapter","N/A","N/A","N/A","N/A","N/A","Number of Pages","Original Release Date","N/A","Version","N/A","N/A","N/A","E-Pub Date","N/A","N/A","N/A","N/A","Section","Section","Duration of Grant","N/A","N/A","N/A","N/A","N/A","Section Number","Start Page","N/A","Start Page","N/A","N/A","Section","Section","N/A","International Patent Number","N/A","N/A","Chapter","N/A","N/A","Section Number","Section","N/A","Code Section","N/A","N/A"
"SN","ISSN","ISBN","ISSN/ISBN","ISBN","N/A","N/A","ISBN","ISBN","N/A","ISBN","N/A","ISSN/ISBN","ISBN","ISBN","N/A","ISBN","ISSN","Report Number","ISBN","ISBN","ISBN","ISBN","ISSN","ISBN","ISBN","N/A","N/A","ISBN/ISSN","Report Number","N/A","ISBN","N/A","ISSN","ISSN","ISSN","Document Number","N/A","ISBN","ISSN","N/A","N/A","ISSN","ISSN","ISBN","Patent Number","N/A","Report Number","ISBN","ISBN","ISBN","Document Number","N/A","N/A","N/A","N/A","ISBN"
"SP","Pages","N/A","Pages","Pages","Description","Code Pages","Description","Number of Pages","First Page","Pages","Description","Number of Pages","Description","Pages","Pages","Pages","N/A","Pages","Pages","Number of Pages","Pages","Number of Pages","Pages","Description","Pages","Description","Description","Pages","Pages","Pages","Pages","Pages","Pages","Pages","Pages","Pages","Pages","Description","Pages","Running Time","N/A","Pages","Pages","Pages","Pages","Pages","Pages","Pages","N/A","N/A","Pages","Pages","Number of Pages","Code Pages","Pages","N/A"
"ST","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","Abbreviated Case Name","Short Title","N/A","Short Title","Short Title","Short Title","N/A","Short Title","Short Title","N/A","Short Title","N/A","Short Title","Short Title","Short Title","Short Title","Short Title","N/A","N/A","Short Title","N/A","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","N/A","Short Title","Short Title","Short Title","Short Title","N/A","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","Short Title","N/A","Short Title","Short Title","Short Title","Short Title","Short Title"
"SV","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Series Volume","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"T2","Journal","N/A","Periodical","Publication Title","N/A","Code","Title of WebLog","Series Title","N/A","Book Title","Image Source Program","Series Title","Series Title","Conference Name","Conference Name","Series Title","N/A","Periodical","Dictionary Title","Secondary Title","Book Title","Secondary Title","Periodical Title","Series Title","Encyclopedia Title","Image Source Program","Image Source Program","Secondary Title","N/A","N/A","Committee","N/A","Journal","Journal","Journal","Title Number","Collection Title","Series Title","Magazine","Series Title","Series Title","Album Title","Newspaper","Published Source","Published Source","N/A","Series Title","Secondary Title","N/A","N/A","Section Title","Code","Academic Department","Code","Series Title","N/A"
"T3","N/A","Series Title","N/A","Volume Title","N/A","Legislative Body","Institution","N/A","Decision","Series Title","N/A","N/A","N/A","Series Title","N/A","N/A","Series Title","N/A","N/A","Series Title","Series Title","N/A","Website Title","N/A","N/A","N/A","N/A","Tertiary Title","Series Title","N/A","Legislative Body","N/A","N/A","N/A","N/A","Supplement No.","N/A","N/A","N/A","N/A","N/A","Series Title","N/A","N/A","International Title","N/A","N/A","Series Title","Series Title","Series Title","Paper Number","International Source","N/A","Legislative Body","Department","Series Title"
"TA","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author","Translated Author"
"TI","Title","Title","Title","Title","Title","Title","Title of Entry","Title","Case Name","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title of Grant","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Title","Name of Act","Title","Title","Title of Work","Title"
"TT","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title","Translated Title"
"UR","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL","URL"
"VL","Volume","Volume","Volume","Volume","N/A","Code Volume","Access Year","Volume","Reporter Volume","Volume","Image Size","Volume","Edition","Volume","Volume","Volume","N/A","Volume","Volume","Volume","Volume","Volume","Volume","Access Year","Volume","Image Size","Image Size","Volume","Volume","Amount Requested","N/A","N/A","Volume","Volume","Volume","Rule Number","Volume/Storage Container","N/A","Volume","N/A","N/A","Volume","Volume","Number","Patent Version Number","N/A","Volume","Volume","Volume","Volume","Rule Number","Code Number","Degree","Code Volume","N/A","Volume"
"Y2","Access Date","Access Date","N/A","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","N/A","Access Date","N/A","Access Date","Access Date","N/A","N/A","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","N/A","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Access Date","Date Enacted","Access Date","Access Date","Access Date","Access Date"
