"Field","ABST","ADVS","AGGR","ANCIENT","ART","BILL","BLOG","BOOK","CASE","CHAP","CHART","CLSWK","COMP","CONF","CPAPER","CTLG","DATA","DBASE","DICT","EBOOK","ECHAP","EDBOOK","EJOUR","ELEC","ENCYC","EQUA","FIGURE","GEN","GOVDOC","GRANT","HEAR","ICOMM","INPR","JFULL","JOUR","LEGAL","MANSCPT","MAP","MGZN","MPCT","MULTI","MUSIC","NEWS","PAMP","PAT","PCOMM","RPRT","SER","SLIDE","SOUND","STAND","STAT","THES","UNBILL","UNPB","VIDEO"
"C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Reviewer","N/A","Reviewer","N/A","N/A","N/A","N/A","N/A","N/A","Dataset(s)","N/A","N/A","Reviewer","Reviewer","N/A","Reviewer","N/A","N/A","N/A","N/A","Custom 4","N/A","Contact Fax","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Genre","N/A","Target Audience","N/A","N/A","Attorney/Agent","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"C5","N/A","Format","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Packaging Method","N/A","N/A","N/A","Packaging Method","N/A","Packaging Method","N/A","N/A","N/A","Last Update Date","Packaging Method","N/A","Issue Title","N/A","N/A","N/A","N/A","Custom 5","N/A","Funding Number","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Packaging Method","N/A","Format","Format/Length","Accompanying Matter","N/A","Packaging Method","References","N/A","N/A","Packaging Method","Format","Format","N/A","Publisher","N/A","N/A","N/A","Format"
"C6","NIHMSID","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NIHMSID","NIHMSID","N/A","NIHMSID","N/A","N/A","N/A","N/A","Custom 6","N/A","CFDA Number","N/A","N/A","NIHMSID","NIHMSID","NIHMSID","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Legal Status","N/A","Issue","N/A","N/A","N/A","N/A","Volume","N/A","N/A","N/A","N/A"
"C7","Article Number","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","PMCID","PMCID","N/A","Article Number","N/A","N/A","N/A","N/A","Custom 7","N/A","N/A","N/A","N/A","Article Number","Article Number","Article Number","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"C8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Custom 8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CA","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","N/A","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption","Caption"
"CN","Call Number","Call Number","N/A","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","N/A","Call Number","Call Number","N/A","Call Number","Call Number","Call Number","Call Number","N/A","Call Number","Call Number","Call Number","Call Number","Call Number","N/A","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","N/A","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","Call Number","N/A","Call Number"
"CT","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Caption","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CY","N/A","City","City","City","City","N/A","City","City","N/A","City","City","City","City","Conference Location","Conference Location","City","City","Place Published","City","Place Published","Place Published","City","Place Published","City","City","City","City","Place Published","City","Activity Location","City","City","N/A","N/A","N/A","Place Published","City","City","Place Published","Country","N/A","Place Published","City","City","Country","City","City","City","City","City","Place Published","Country","City","N/A","City","City"
"DA","Date","Date","Date Accessed","Date","Date","Date","Last Update Date","Date","Date Decided","N/A","Date","N/A","N/A","Date","Date","Date","Date of Collection","Date Accessed","N/A","Date Accessed","Date Accessed","Date","Date Accessed","Last Update Date","Date","Date","Date","Date","N/A","Deadline","Date","Date","Date","Date","Date","Date of Code Edition","Date","Date","Date","Date Released","Date Accessed","Date","N/A","Date","Date","Date","Date","Date","Date","Date","Date","Date Enacted","Date","Date","Date","Date"
"DB","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database","Name of Database"
"DO","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI","DOI"
